Intérprete,Código,Título
Banda Calypso,7359,Faço Tudo Por Você
Banda Calypso,7673,Perdeu O Trono
Banda Calypso,7897,Acelerou
Banda Calypso,9309,Objeto De Desejo
Banda Calypso,9485,Muito Além Do Prazer
Banda Calypso,9617,Arrepiou
Banda Calypso,15340,Me Beija Agora
Banda Calypso,15360,"Xonou, Xonou"
Banda Calypso,15642,A Festa Começou
Banda Calypso,17192,DOCE MEL
Banda Calypso,17448,MARIDOS E ESPOSAS
Banda Calypso E Amado Batista,66286,Quem Ama Não Deixa De Amar
Banda Calypso E Bruno E Marrone,55229,Porque Choras
Banda Calypso E Daniel,55230,Minha Vida Nao É Vida Sem Você
Banda Calypso E Reginaldo Rossi,66287,Não Posso Negar Que Te Amo
Banda Calypso-Leonardo,7995,Mais Uma Chance
Banda Céu E Cantos,66291,Bandido Do Amor
Banda Céu E Cantos,66292,Copo Furado
Banda Céu E Cantos,66293,Maior Que O Oceano
Banda Céu E Cantos,66294,Mesa Seis
Banda Céu E Cantos,66295,Meu Mundo É Você
Banda Céu E Cantos,66296,Rosas Vermelhas
Banda Céu E Cantos,66297,Toalha Branca
Banda Céu E Cantos,66298,Whisky Sem Gelo
Banda Cheiro De Amor,1074,Dias De Sol
Banda Cheiro De Amor,1328,Pense Em Mim
Banda Cheiro De Amor,1720,Xequerê
Banda Cheiro De Amor,2663,Amassadinho
Banda Cheiro De Amor,2718,O Seu Adeus
Banda Cheiro De Amor,3084,Estrela Primeira
Banda Cheiro De Amor,3176,Nossa Gente (Avisa Lá)
Banda Cheiro De Amor,3599,"Vai Sacudir, Vai Abalar"
Banda Cheiro De Amor,3657,É Demais Meu Rei
Banda Cheiro De Amor,3732,Todo Mundo Dança
Banda Cheiro De Amor,3891,Pega No Balanço
Banda Cheiro De Amor,3927,Olha Eu Aí
Banda Cheiro De Amor,3942,A Dança Da Sensual
Banda Cheiro De Amor,3944,Abre Coração
Banda Cheiro De Amor,4066,Aviãozinho
Banda Cheiro De Amor,7427,Quixabeira
Banda Cheiro De Amor,15491,Lero Lero
Banda Cheiro De Amor,15662,Jasmim
Banda Cheiro De Amor - Lucas Lucco,16148,Proposta Indecente
Banda Colorado,7604,Explode Coração
Banda Corpo E Alma,66288,Copo Quebrado
Banda Corpo E Alma,66289,Nosso Amor Terminou
Banda Corpo E Alma,66290,Yo Te Amo
Banda Djavu,50559,Apaixonada
Banda Djavu,50560,Gatinho Bonitinho
Banda Djavu,50561,Me Libera
Banda Djavu,55237,Telefone
Banda Djavu,73755,Creu Da Vizinha
Banda Djavu,73756,Soca Soca
Banda Djavú,55239,Rubi
Banda Djavú,1259,Me Libera
Banda Djavú,1300,Não Desliga O Telefone
Banda Djavú,1517,Nave Do Amor
Banda Djavú,2757,Se Não Valorizar (Umbrella)
Banda Do Mar,15972,Mais Ninguém
Banda Do Mar,16416,Dia Clarear
Banda Ébanos,66334,Não Toque Essa Música
Banda Encantu'S,66299,Você Mentiu
Banda Eva,55242,Eva
Banda Eva,55244,Me Abraça E Me Beija
Banda Eva,1028,Toda Linda
Banda Eva,1270,Reggae Do Porto
Banda Eva,1337,Lugar Da Alegria
Banda Eva,3371,Me Abraça
Banda Eva,3465,Coleção
Banda Eva,3607,Beleza Rara
Banda Eva,3823,Alô Paixão
Banda Eva,3900,Vem Meu Amor
Banda Eva,3920,Leva Eu
Banda Eva,3948,Arerê
Banda Eva,4002,Levada Louca
Banda Eva,4068,Carro Velho
Banda Eva,4106,De Ladinho
Banda Eva,7170,Mais Do Que Preciso
Banda Eva,7363,Flores
Banda Eva,7378,Manda Ver
Banda Eva,7559,Belo Dia
Banda Eva,7635,Marley
Banda Eva,9298,Nosso Amor É Lindo
Banda Eva,9391,Anjo
Banda Eva,9870,Rua 15
Banda Eva,15432,Simplesmente
Banda Eva - Timbalada,15236,Naná Naná
Banda Eva-Ivete Sangalo,6946,Não Me Conte Seus Problemas
Banda Eva-Netinho,1231,Química Perfeita
Banda G10,50571,365 Dias
Banda G10,50572,Acelerei
Banda G10,73675,Amor Ou Amigo
Banda Gasparzinho,72743,Sou O Rei
Banda Grafith,66300,Passinho Do Peter Pan
Banda Indústria Músical,73676,Promessa É Divida
Banda Kaçamba,15503,Saia E Bicicletinha
Banda Karisma,73677,Só Quero Te Dizer
Banda Legal,73757,Alô Fala Comigo
Banda Libanos,72744,Palavras
Banda Magnificos,50573,A Preferida Do Brasil
Banda Magnificos,50575,Cristal Quebrado
Banda Magnificos,50578,Telefone Fora De Área
Banda Magnificos,50579,Tentando Me Evitar E Me Usa
Banda Magnificos,50580,Verdadeiro Amor
Banda Magníficos,72745,O Encanto
Banda Magníficos,3712,Me Usa
Banda Magníficos,3955,Fora De Mim
Banda Magníficos,3959,Meu Tesão É Você
Banda Magníficos,3965,O Homem Ideal
Banda Magníficos,3987,Adoro
Banda Magníficos,4025,Apaixonado
Banda Magníficos,4260,Volte Pra Mim
Banda Magníficos,4303,Amor Escondido
Banda Magníficos,6019,Me Faz Um Dengo
Banda Magníficos,6030,Só Depende De Nós
Banda Magníficos,6692,É Chamego Ou Xaveco
Banda Magníficos,6999,Verdadeiro Amor
Banda Magníficos,7230,Quero Ter Você Pra Mim
Banda Magníficos,7250,Sonhar
Banda Magníficos,9582,A Preferida Do Brasil
Banda Malta,50581,Diz Pra Mim
Banda Malta,66302,Memórias
Banda Maskavo,55249,Um Anjo Do Céu
Banda Meio Oeste,74159,Espuma Da Cerveja
Banda Mel,55250,Menina Da Ladeira
Banda Mel,3023,Baianidade Nagô
Banda Mel,3028,Bateu Saudade
Banda Mel,3359,Crença E Fé
Banda Mel,3383,Prefixo De Verão
Banda Mel,7139,Festa Na Bahia
Banda Mercosul,73678,A Cada Copo De Cerveja
Banda Milennium Cia Show,74053,Diga Que Sim
Banda Musical Calmon,66304,Duas Vidas Em Um Só Coração
Banda Musical Jm,66305,Amor Mafioso
Banda Musical Jm,66306,Carinha De Santa
Banda Musical Jm,66307,Quarto De Mansão
Banda Novo Milênio,73679,De Corpo E Alma
Banda Opus Dei,73680,Gaita Chorona
Banda Os Atuais,66308,Barco Do Amor
Banda Pancanejo,72746,A Moda Dos Traiados
Banda Passarela,50582,A Ti Papai
Banda Passarela,50583,Agora Sou Mais Eu
Banda Passarela,50584,Alto Falante Vai Tremer
Banda Passarela,50585,Doido Maluco
Banda Passarela,50586,Faz De Conta
Banda Passarela,50587,Fique
Banda Passarela,50588,Marcas
Banda Passarela,50589,No Bar Da Esquina
Banda Passarela,50590,Não Casa Com Ele
Banda Passarela,50591,Por Causa Dela
Banda Passarela,50592,Quarto 12
Banda Passarela,50593,Se Toca
Banda Passarela,66309,Alô Segurança
Banda Passarela,66310,Ame Quem Te Ama
Banda Passarela,66311,Bar Da Esquina
Banda Passarela,66312,Quarto Doze
Banda Passarela,66313,Se Ainda Existe Amor
Banda Portal Da Serra,66314,Liga Lá Em Casa
Banda Portal Da Serra,66315,Seu Polícia
Banda Portal Da Serra,66316,Você Não Sabe Amar
Banda R3,74054,Jogo Do Amor
Banda R6,73758,Rosto Molhado
Banda Rara,5520,Deixa Tudo
Banda Rara,5529,Estrela Da Manhã
Banda Rara,5539,Hip Hop
Banda Rara,5540,Humanidade
Banda Rara,5543,Jesus É O Amor
Banda Rara,5550,Maranata
Banda Rara,5553,Metrópole
Banda Rara,5562,Pastor
Banda Rara,5564,Presença
Banda Rara,5566,Pura Harmonia
Banda Rara,5572,Quero Lembrar
Banda Rara,5578,Rei Dos Reis
Banda Rara,5590,Tudo Que Eu Quis
Banda Rara,5593,Vem De Fora
Banda Rara,5595,Vícios
Banda Rara,5597,Vida
Banda Real Do Paraná,50594,Vou Apelar
Banda Reflexus,16444,Madagascar Olodum
Banda Revolução,74055,Neguinha
Banda San Marino,50595,A Outra Misturinha
Banda San Marino,50596,Caixa Postal
Banda San Marino,50597,Caso Novo
Banda San Marino,50598,Coração De Pedra
Banda San Marino,50599,Dai Qui Miorô
Banda San Marino,50600,Ele Te Trai
Banda San Marino,50601,Enfermeira
Banda San Marino,50602,Essa Cama Eu Não Vendo
Banda San Marino,50603,Foto 3X4
Banda San Marino,50604,Mulher Transgênica
Banda San Marino,50605,Página Virada
Banda San Marino,50606,Ta Com Dor De Cotovelo
Banda San Marino,50607,Vaza
Banda San Marino,50608,Vida De Solteiro
Banda San Marino,66317,A Força Do Amor
Banda San Marino,66318,Bala Trocada
Banda San Marino,66319,Dois Apaixonados
Banda San Marino,66320,Eu O Copo E A Solidão
Banda San Marino,66321,Fora De Sério
Banda San Marino,66322,Foto 3 X 4
Banda San Marino,66323,Preciso Te Falar
Banda San Marino,66324,Página Vuelta (Página Virada)
Banda San Marino,66325,Vou Pedir Perdão À Ela
Banda San Marino,72747,A Casinha Do Monte
Banda San Marino,72748,A Dama E O Vagabundo
Banda San Marino,72749,Agarradinho
Banda San Marino,72750,Besta De Paixão
Banda San Marino,72751,Casalzinho Sem Vergonha
Banda San Marino,72752,Copo De Cerveja
Banda San Marino,72753,Latinha Na Goteira
Banda San Marino,72754,Marcas De Verão
Banda San Marino,72755,Menina Dos Meus Sonhos
Banda San Marino,72756,Meu Anjo
Banda San Marino,72757,Morenaça
Banda San Marino,72758,O Nosso Amor É Eletrico
Banda San Marino,72759,Pintou Uma Paixão
Banda San Marino,72760,Principal Assunto
Banda San Marino,72761,Se Acabou Pra Ti
Banda San Marino,72762,Sigo Te Amando
Banda San Marino,72763,Só Eu Não Tô Sabendo
Banda San Marino,72764,Tô Melhor Agora
Banda San Marino,72765,Vaza
Banda Sayonara,73759,Desejos
Banda Sayonara,74557,Fogo E Paixão
Banda Sayonara,74556,Stand By (Louco Coração)
Banda Sedutora,50609,Nocaute
Banda Sinfonica De São Paulo,50610,Hino Nacional Brasileiro
Banda Strike,55251,Céu Completo
Banda Tarraxinha,66326,Farra Da Ana
Banda Terceira Dimensão,66327,Maria Tchá Tchá Tchá
Banda Terra Brasilis,73760,Vou Trabalhar E Esquecer
Banda Terra Brasilis,74263,Angustia De Um País
Banda Torpedo,66328,Cai Fora
Banda Torpedo,66329,Eu Ja Te Amei
Banda Tribos,74558,Gaguinho Do Brega
Banda Uó,15535,Faz Uó
Banda Uó,15765,Chorei
Banda Uó - Mr. Catra,15647,Catraca
Banda Uó-Karol Conka,16312,Da1Like
Banda Vingadora,50611,Calcanhar De Prego
Banda Vingadora,66330,A Minha Mãe Deixa
Banda Vingadora,66331,Paredão Metralhadora
Banda Vingadora,66332,Rebola Gostoso
Banda Vingadora,15887,Metralhadora
Banda Virus Musical,66333,Por Eu Ter Me Machucado
Banda Voa Dois,9388,Amor Pirei
Barao Vermelho,16798,Por Que A Gente E Assim
Barao Vermelho,17196,POLITICA VOZ
Barao Vermelho,17238,PRA TODA A VIDA
Barão Vermelho,50617,Maior Abandonado
Barão Vermelho,55255,"Amor, Meu Grande Amor"
Barão Vermelho,55257,Declare Guerra
Barão Vermelho,55258,Eclipse Oculto
Barão Vermelho,55259,Eu Queria Ter Uma Bomba
Barão Vermelho,55260,Malandragem Dá Um Tempo
Barão Vermelho,55268,Torre De Babel
Barão Vermelho,2809,Meus Bons Amigos
Barão Vermelho,3223,Pro Dia Nascer Feliz
Barão Vermelho,3511,Bete Balanço
Barão Vermelho,3890,O Poeta Está Vivo
Barão Vermelho,4010,Puro Êxtase
Barão Vermelho,4369,Por Você
Barão Vermelho,6724,Bilhetinho Azul
Barão Vermelho,6817,Cuidado
Barão Vermelho,6841,A Chave Da Porta Da Frente
Barão Vermelho,7211,Pense E Dance
Barão Vermelho,7614,Fúria E Folia
Barão Vermelho,15093,Sorte E Azar
Barão Vermelho,16193,"Pedra, Flor E Espinho"
Barão Vermelho,16327,Flores Do Mal
Barão Vermelho,17063,ENQUANTO ELA NAO CHEGAR
Barão Vermelho,17168,TAO LONGE DE TUDO
Barão Vermelho,17281,BABY SUPORTE
Barbara Dias,17151,9 MESES (ORACAO DO BEBE)
Barnabé,66335,Desencoste Da Chiquinha
Barreirito,66336,Onde Estão Os Meus Passos
Barrerito,66337,A Dama Do Vestido Longo
Barrerito,66338,Amaremos
Barrerito,66339,Morto Por Dentro
Barrerito,66340,Onde Estão Os Meus Passos
Barros De Alencar,55253,Emanuela
Barros De Alencar,74160,Apenas 3 Minutos
Barry Manilow,66341,Memory
Barto Galeno,66342,Amor E Desprezo
Barto Galeno,66343,Malena
Bartô Galeno,1775,No Toca-Fita Do Meu Carro
Bartô Galeno,1797,Se Eu For Embora É Pro Nosso Bem
Bartô Galeno,15421,O Grande Amor Da Minha Vida
Bartô Galeno,15508,Só Lembranças
Bartô Galeno,74264,Coisas Da Vida
Bartô Galeno,74265,Novamente
Bartô Galeno,74266,Pense Meu Bem
Bartô Galeno,74267,Voltei
Batifun,15481,Abana
Batista E Baltazar,66345,Quando Me Enamoro
Be One Music,72205,Até Te Encontrar
Be One Music,72206,Cercado De Glória
Be One Music,72207,Valor
Bebel Gilberto,6954,O Caminho
Bebeto,50621,Que Pena
Bebeto,55270,Menina Carolina
Bebeto,7041,A Beleza É Você Menina
Bebeto,7954,Essa Menina
Bebeto,9338,Segura A Nega
Belchior,1323,Comentários A Respeito De John
Belchior,1387,Na Hora Do Almoço
Belchior,1653,Divina Comédia Humana
Belchior,3015,Apenas Um Rapaz Latino Americano
Belchior,3854,Paralelas
Belchior,3921,Medo De Avião
Belchior,6556,Todo Sujo De Batom
Belchior,7044,À Palo Seco
Belchior,7052,Alucinação
Belchior,7267,Tudo Outra Vez
Belchior,15767,Coração Selvagem
Belchior,16820,SUJEITO DE SORTE
Bell Marques,55278,Amor Bacana
Bell Marques,55279,Voltei
Bell Marques,72767,Minha Deusa(Cabelo De Chapinha)
Bell Marques,15576,Lindo É Viver
Bell Marques,15581,Nicolau
Belmiro E Belmonte,66346,Não Me Abandones
Belmonte,66347,Chuá Chuá
Belmonte,66348,De Papo Pro Ar
Belmonte,66349,Piracicaba
Belmonte E Amarai,66350,Desde Que Te Ví
Belmonte E Amarai,66351,Lágrimas Da Alma
Belmonte E Amarai,66352,Mercedita
Belmonte E Amarai,66353,Morrendo De Amor
Belmonte E Amarai,66354,Sei Que Te Perdi
Belmonte E Amarai,66355,Tua Ausência
Belmonte E Amarai,66356,Tão Somente Uma Vez
Belmonte E Amarai,73681,Gente Da Minha Terra
Belmonte E Amaraí,55280,Faz Um Ano
Belmonte E Amaraí,66357,A Andorinha
Belmonte E Amaraí,66358,A Fronha
Belmonte E Amaraí,66359,A Hora Do Amor
Belmonte E Amaraí,66360,A Vóz Do Amor
Belmonte E Amaraí,66361,A Vóz Do Povo É A Vóz De Deus
Belmonte E Amaraí,66362,Adeus Mariquita Linda
Belmonte E Amaraí,66363,Ainda Ontem
Belmonte E Amaraí,66364,Amor De Artista
Belmonte E Amaraí,66365,Amor Distante
Belmonte E Amaraí,66366,Ao Te Perder
Belmonte E Amaraí,66367,Aurora Do Mundo
Belmonte E Amaraí,66368,Ave Mensageira
Belmonte E Amaraí,66369,Ave Sem Ninho
Belmonte E Amaraí,66370,Boa Noite Amor
Belmonte E Amaraí,66371,Capricho Do Destino
Belmonte E Amaraí,66372,Carreta Da Fronteira
Belmonte E Amaraí,66373,Cavalinho De Pau
Belmonte E Amaraí,66374,Cavalo Branco
Belmonte E Amaraí,66375,Cavalo Preto Valente
Belmonte E Amaraí,66376,Desventura
Belmonte E Amaraí,66377,Do Mundo Nada Se Leva
Belmonte E Amaraí,66378,Entre Lágrimas
Belmonte E Amaraí,66379,Escadas Da Prisão
Belmonte E Amaraí,66380,Esquina Do Adeus
Belmonte E Amaraí,66381,Eterna Saudade
Belmonte E Amaraí,66382,Eterno Adeus
Belmonte E Amaraí,66383,Eu Penso Em Ti Amor
Belmonte E Amaraí,66384,Garça Maguari
Belmonte E Amaraí,66385,Gente De Minha Terra
Belmonte E Amaraí,66386,Grito Aberto
Belmonte E Amaraí,66387,Incompreensão
Belmonte E Amaraí,66388,La Malagueña
Belmonte E Amaraí,66389,Lamento De Caboclo
Belmonte E Amaraí,66390,Meu Conselho
Belmonte E Amaraí,66391,Meu Dilema
Belmonte E Amaraí,66392,Meu Pequeno Cachoeiro
Belmonte E Amaraí,66393,Minha Linda Cidade
Belmonte E Amaraí,66394,Morena Cheirosa
Belmonte E Amaraí,66396,Não Vá Embora
Belmonte E Amaraí,66397,O Tropeiro
Belmonte E Amaraí,66398,Os Verdes Campos De Minha Terra
Belmonte E Amaraí,66399,Para Morrer Juntinhos
Belmonte E Amaraí,66400,Perdido De Amor
Belmonte E Amaraí,66401,Pombinha Mensageira
Belmonte E Amaraí,66402,Por Ser Vagabundo
Belmonte E Amaraí,66403,Porque Fui Te Conhecer
Belmonte E Amaraí,66404,Presença De Deus
Belmonte E Amaraí,66405,Quando O Destino
Belmonte E Amaraí,66406,Quatro Estados
Belmonte E Amaraí,66407,Quero Esquecer
Belmonte E Amaraí,66408,Quero Lhe Dizer
Belmonte E Amaraí,66409,Regresso Ao Sertão
Belmonte E Amaraí,66410,Saudade De Goiás
Belmonte E Amaraí,66411,Saudade De Minha Terra
Belmonte E Amaraí,66412,Saudade De Você
Belmonte E Amaraí,66413,Saudosa Noiva
Belmonte E Amaraí,66414,Só Me Resta Esquecer
Belmonte E Amaraí,66415,Te Amarei Toda Vida
Belmonte E Amaraí,66416,Terra Querida
Belmonte E Amaraí,66417,Teu Adeus
Belmonte E Amaraí,66418,Três Lagoas Minha Terra Natal
Belmonte E Amaraí,66419,Tu E As Nuvens
Belmonte E Amaraí,66420,Uma Noite Não
Belmonte E Amaraí,66421,Velha Canoa
Belmonte E Amaraí,66422,Visita À Goiás
Belmonte E Amaraí,66423,Último Adeus
Belmonte E Miltinho,66424,Oração À Minha Amada
Belmontino E Amaraí,66425,Paixão E Saudade
Belo,50635,Agenda
Belo,55285,Farol Das Estrelas
Belo,66426,Pura Adrenalina
Belo,1023,Perfume
Belo,1256,Incondicionalmente
Belo,1399,Reinventar
Belo,1428,Invencível
Belo,1685,Direito De Te Amar
Belo,2775,Tudo Mudou
Belo,4499,Tua Boca
Belo,6012,Desafio
Belo,6057,Eternamente
Belo,6111,Quem Será
Belo,6192,Procura-Se Um Amor
Belo,6261,Lambada De Serpente
Belo,6320,Viver Por Ela
Belo,6384,Resumo Da Felicidade
Belo,7141,Fim Da Tristeza
Belo,7644,Nada Vai Separar
Belo,7981,Intriga Da Oposição
Belo,9525,Razão Da Minha Vida
Belo,9560,Vem
Belo,9568,Você Sabe
Belo,9659,Desse Jeito É Ruim Pra Mim
Belo,15518,Vi Amor No Seu Olhar
Belo,15740,Nos Desejos De Uma Paixão
Belo,16664,Contramao
Belo,16994,E O QUE EU MERECO
Belo,73474,O Meu Amor É Belo
Belo,73682,Fica Mais Relax
Belo,73761,Pra Ver O Sol Brilhar
Belo - Ivete Sangalo,16226,Linda Rosa
Belo E Ornella Di Santis,55292,Agenda
Belô Velloso,7631,Mamãe Coragem
Belo-Flávia Santana,9523,Quero Te Amar
Benedito Silva,74462,Uma Luz No Meu Caminho
Benito Di Paula,55294,Beleza Que É Você Mulher
Benito Di Paula,55297,Meto O Pé Na Porta
Benito Di Paula,55301,Poxa
Benito Di Paula,55306,Você Vai Ficar Na Saudade
Benito Di Paula,72768,Fazendo Paixão
Benito Di Paula,1491,"Ah, Como Eu Amei"
Benito Di Paula,3698,Charlie Brown
Benito Di Paula,3777,Vai Ficar Na Saudade
Benito Di Paula,4097,Se Não For Amor
Benito Di Paula,4124,Mulher Brasileira
Benito Di Paula,6310,Retalhos De Cetim
Benito Di Paula,6477,Tudo Está No Seu Lugar
Benito Di Paula,6651,Do Jeito Que A Vida Quer
Benito Di Paula,7188,Não Precisa Me Perdoar
Benito Di Paula,7228,Que Beleza
Benito Di Paula,7274,Violão Não Se Empresta A Ninguém
Benito Di Paula,7641,Modificação
Benito Di Paula,9385,Amigo Do Sol Amigo Da Lua
Benito Di Paula,9629,Canção De Viver Com Você
Benito Di Paula,9864,Proteção Às Borboletas
Benito Di Paula,9872,Sanfona Branca
Benito Di Paula,15006,Assobiar Ou Chupar Cana
Benito Di Paula,15024,Além De Tudo
Benito Di Paula,15844,Como Dizia O Mestre
Benito Di Paula,73683,Osso Duro De Roer
Benito Di Paula-Demônios Da Garoa,1641,A Vida É Dura
Beth Carvalho,66428,O Mundo É Um Moinho
Beth Carvalho,72769,Andança + Back Vocal
Beth Carvalho,72770,Vou Festejar + Back Vocal
Beth Carvalho,1162,Amor De Verdade
Beth Carvalho,1375,Cabô Meu Pai
Beth Carvalho,3296,Vou Festejar
Beth Carvalho,3302,Andança
Beth Carvalho,6055,Coisinha Do Pai
Beth Carvalho,6441,1800 Colinas
Beth Carvalho,6778,Folhas Secas
Beth Carvalho,6801,A Chuva Cai
Beth Carvalho,7058,Antes Ele Do Que Eu
Beth Carvalho,7098,Corda No Pescoço
Beth Carvalho,7234,Saco De Feijão
Beth Carvalho,15401,Água De Chuva No Mar
Beth Carvalho,16096,Firme E Forte
Beth Carvalho,16516,Malandro Sou Eu
Beth Carvalho,16868,SAMBA DE ARERE
Beth Carvalho,17081,ACREDITAR
Beth Carvalho,73684,Bar Da Neguinha
Beth Carvalho,73762,Pranto Que Chorei
Beth Carvalho - Mercedes Sosa,15534,Eu Só Peço A Deus
Beth Carvalho - Zeca Pagodinho,17053,CAMARAO QUE DORME A ONDA LEVA
Beth Carvalho E Zeca Pagodinho,50655,Ainda É Tempo De Ser Feliz
Beth Carvalho E Zeca Pagodinho,50656,Dor De Amor
Beth Lamas,6696,Fama
Betinho,7167,Lúcia Esparadrapo
Beto Barbosa,50658,Você Errou Mais Do Que Eu
Beto Barbosa,66429,Balanço Trilegal
Beto Barbosa,66430,Dance Balance - Você Errou Mais Do Que Eu
Beto Barbosa,3153,Meu Amor Não Vá Embora
Beto Barbosa,3407,Embalo Trilegal
Beto Barbosa,3419,Dona
Beto Barbosa,3457,Beijinho Na Boca
Beto Barbosa,3485,Preta
Beto Barbosa,3650,Balança O Bumbum Muchacha
Beto Barbosa,7047,Adocica
Beto Barbosa,7182,Morená Morenou
Beto Guedes,50659,O Sal Da Terra
Beto Guedes,55313,Quando Te Vi
Beto Guedes,66431,Feira Moderna
Beto Guedes,3493,Sol De Primavera
Beto Guedes,6420,Maria Solidária
Beto Guedes,6544,Paisagem Da Janela
Beto Guedes,6646,Amor De Índio
Beto Guilherme,50661,Agenda
Bezerra Da Silva,50670,A Necessidade
Bezerra Da Silva,50671,Dedo Duro
Bezerra Da Silva,50672,Pega Eu
Bezerra Da Silva,50673,Todo Enrolado
Bezerra Da Silva,55315,Catatau Nervoso
Bezerra Da Silva,9435,Defunto Caguete
Bezerra Da Silva,15619,Pagode Na Casa Do Gago
Bezerra da Silva,16899,SEQUESTRARAM MINHA SOGRA
Bezerra Da Silva,74559,Tem Coca Aí Na Geladeira
Biá E Dino Franco,66438,A Sementinha
Biá E Dino Franco,66439,Chofer De Estrada
Biá E Dino Franco,66440,Encontro De Poetas
Biá E Dino Franco,66441,Onde Estás Agora
Biá E Dino Franco,66442,Paraná Do Norte
Biá E Dino Franco,66443,Porto De Paranaguá
Biafra,55321,Vinho Antigo
Biafra (Byafra),1385,Leão Ferido
Biafra (Byafra),1444,Aguardente
Biafra (Byafra),1537,Perdões
Biafra (Byafra),1538,Seu Nome
Biafra (Byafra),1579,Uma Vez E Nunca Mais
Biafra (Byafra),1765,Antes Que Eu Te Esqueça
Biafra (Byafra),3973,Rua Ramalhete
Biafra (Byafra),4123,Moldura
Biafra (Byafra),6435,Sonho De Ícaro
Biafra (Byafra),6797,Te Amo
Bianca,50678,Vou Pra Casa Rever Os Meus Pais
Bianca,66433,Tudo Dava Certo
Bianca,73685,Minha Amiga
Bicho De Pé,6226,Nosso Xote
Biel,66434,Quimica
Biel E Ludmilla,55323,Melhor Assim
Biel Tatá,73475,Artigo 157
Bin,74268,Saturno
Biquini Cavadão,66435,Carta Aos Missionários
Biquini Cavadão,66437,No Mundo Da Lua
Biquini Cavadão,1644,Agora É Moda
Biquini Cavadão,2829,Dani
Biquini Cavadão,2873,Quando Eu Te Encontrar
Biquini Cavadão,2874,Quanto Tempo Demora Um Mês
Biquini Cavadão,2880,"Você Existe, Eu Sei"
Biquini Cavadão,3268,Timidez
Biquini Cavadão,3287,Vento E Ventania
Biquini Cavadão,3957,Janaína
Biquini Cavadão,6475,Tédio
Biquini Cavadão,9667,Em Algum Lugar Do Tempo
Biquini Cavadão,15011,Escuta Aqui
Biquini Cavadão,15071,Impossível
Biquini Cavadão,15080,Zé Ninguém
Biquini Cavadão,15120,Vou Te Levar Comigo
Biquini Cavadão,15428,Roda Gigante
Biquini Cavadão,17245,NO MUNDO DA LUA
Biquini Cavadão-Renato Russo,1096,Múmias
Biro Do Cavaco,3570,Jéssica
Bispo Marcelo Crivella,5627,O Amor Maior
Bispo Marcelo Crivella,5631,Perfume Universal
Biu Do Piseiro E Chinem,73686,Pega O Pato
Biu Do Piseiro E Pedrinho,74056,Sextou
"Biu Do Piseiro, Chinem",73687,Pega O Pato
Blitz,50690,Biquini De Bolinha Amarelinha
Blitz,66445,Apenas Mais Uma De Amor
Blitz,73179,Betty Frígida
Blitz,3132,Mais Uma De Amor
Blitz,3293,Você Não Soube Me Amar
Blitz,3299,Weekend
Blitz,3444,Quem Tem Põe
Blitz,6041,A Dois Passos Do Paraíso
Blitz,9446,Egotrip
Blitz,16852,BETTY FRIGIDA
Bob E Róbison,72773,Amor Total
Bob Lin,73688,Contigo Ao Sol
Bob Zoom,16858,PULA PIPOQUINHA
Bobby De Carlo,66446,Tijolinho
Bobby Di Carlo,6119,Tijolinho
Bobby Di Carlo,7099,Cuidado Pra Não Derreter
Bobby Di Carlo,7171,Marcianita
Bobby Di Carlo,73689,Boneca Que Diz Não
Boca Livre,1033,A Casa
Boca Livre,6834,Quem Tem A Viola
Boca Livre,15137,Toada
Boi Bumbá Caprichoso,6049,Brasis Ameríndios
Boi Bumbá Garantido,6058,Eterno Campeão
Boi Caprichoso 1996,72161,Pesadelo Dos Navegantes
Boi Caprichoso 1998,72162,Bicho Homem
Boi Caprichoso 2009,72163,Deusa Morena
Boi Caprichoso 2010,72164,Sentimento Caprichoso
Boi Caprichoso 2011,72178,Turbilhão Azul
Boi Caprichoso 2012,72165,Filhos Da Mundurukania
Boi Caprichoso 2015,72166,Amazônia Nas Cores Do Brasil
Boi Caprichoso 2015,72167,Serpentárias
Boi Caprichoso 2015,72168,Tribos Brasil
Boi Garantido 1997,72169,Eldorado
Boi Garantido 1997,72170,Festa Da Raça
Boi Garantido 2001,72171,Louco Torcedor
Boi Garantido 2006,72172,Diva Morena
Boi Garantido 2011,72173,Miscigenação
Boi Garantido 2012,72174,Apaixonado Coração
Boi Garantido 2015,72175,O Retorno Da Mística
Boi Garantido 2015,72176,Os Camisa Encarnada
Boi Garantido 2015,72177,Quimera Cabocla
Boka Loka,50700,Duas Paixões
Boka Loka,55336,Shortinho Saint Tropez
Boka Loka,2908,Desengano
Boka Loka,16722,Duas Paixoes
Boka Loka,16826,NAO PEDI PRA ME APAIXONAR
Boka Loka,17207,QUE SITUACAO
Bokaloka,72774,Que Situação
Bokinha De Sergipe,72775,Sou Favela
Bokinha De Sergipe,72776,Cornetinha
Bokinha De Sergipe,72777,Dna Do Interior
Bokinha De Sergipe,72778,Péssimo Negócio
Bom Gosto,74357,300 Anos
Bonde Da Stronda,72779,Nossa Quimica
Bonde Das Maravilhas,55337,Quadradinho De 8
Bonde Do Brasil,55338,Alo Paixão
Bonde Do Brasil,55339,Entao Volta
Bonde Do Brasil,55340,Sem Você Não Sou Mais Eu
Bonde Do Brasil,72208,To Com Moral No Céu
Bonde Do Brasil,74057,Amor Infinito
Bonde Do Brasil,74058,Sem Você Não Dá
